,gare,lat,lon,max
163,Sète,43.4,3.68,1
164,Strasbourg,48.58,7.73,1
165,Surgères,46.1,-0.75,1
166,Tarbes,43.23,0.07,1
167,La Teste,44.63,-1.13,0
168,Thionville,49.35,6.17,1
169,Thonon-les-Bains,46.37,6.48,1
170,Toulon,43.12,5.92,1
171,Toulouse,43.6,1.45,1
172,Tourcoing,50.72,3.17,1
173,Tours,47.38,0.68,1
174,Valence,44.98,4.97,1
175,Valence-Ville,44.92,4.88,0
176,Valenciennes,50.35,3.52,1
177,Vannes,47.67,-2.75,1
178,Vendôme,47.82,1.02,1
179,Versailles,48.78,2.13,1
180,Vitré,48.12,-1.2,1
181,Vitry-le-François,48.72,4.58,1
182,Les Aubrais,47.92,1.9,1
183,Belfort,47.63,6.85,1
184,Blois - Chambord,47.58,1.32,0
185,Brive-la-Gaillarde,45.15,1.52,1
186,Caen,49.17,-0.35,0
187,Cambrai-Ville,50.17,3.23,0
188,Châteauroux,46.8,1.7,1
189,Cherbourg,49.63,-1.62,0
190,Commercy,48.77,5.58,0
191,Conflans-Fin-d'Oise,48.98,2.07,0
192,Culoz,45.83,5.77,0
193,Évreux-Normandie,49.02,1.15,0
194,Fontainebleau - Avon,48.42,2.72,0
195,Juvisy,48.68,2.38,0
196,Laroche - Migennes,47.97,3.5,0
197,Limoges,45.83,1.27,1
198,Lisieux,49.13,0.23,0
199,Longueau,49.87,2.35,0
200,Lyon-Brotteaux,45.77,4.85,0
201,Melun,48.52,2.65,0
202,Montbéliard,47.5,6.8,0
203,Morcenx,44.03,-0.9,0
204,Pontarlier,46.9,6.35,0
205,Saint-Omer (Pas-de-Calais),50.75,2.27,0
206,Savenay,47.35,1.95,0
207,Sens,48.2,3.27,0
208,La Souterraine,46.23,1.48,1
209,Vierzon,47.22,2.05,1
210,Ruffec,46.03,0.18,1
211,Lons-le-Saunier,46.67,5.55,1
212,Toul,48.67,5.87,0
213,Neufchâteau,48.35,5.68,0
214,Culmont - Chalindrey,47.8,5.43,0
215,Briançon,44.88,6.63,1
216,Cahors,44.45,1.43,1
217,Clermont-Ferrand,45.77,3.1,1
218,Gap,44.57,6.08,1
219,Issoudun,44.95,1.98,1
220,Marmande,44.5,0.17,1
221,MontDauphin,44.67,6.62,1
222,Moulins sur Allier,46.55,3.33,1
223,Nevers,46.98,3.15,1
224,Riom - Chatel,45.88,3.12,1
225,Rodez,44.35,2.58,1
226,Uzerche,45.43,1.57,1
227,Vichy,46.12,3.43,1
228,Luxembourg,49.6,6.13,1
229,Monaco,43.73,7.42,1
